"Name","Event Type","Description","Contact URL","Booking URL","Contact Phone Number","Booking Phone Number","Venue Name","Address","County","Latitude","Longitude","Is Free To Visit","Price","Start Date","End Date","Start Time","End Time","Recurring Dates"
"Clay & Coffee: Make Your Own Pot Person - Saturdays","Event","This event is designed for complete beginners with no experience necessary. We do not use any machinery and this is all hand building with air dry clay.

W﻿HAT TO EXPECT?
Expect music and surprises.
There is UNLIMITED tea or coffee & biscuits included for everyone attending.

This is over 18s. Their studio is a place for adults to socialise. No alcohol is allowed on premises. 

P﻿lease note, they do not have the ability to kiln fire pottery, each piece will dry naturally. These pots are not suitable for flowers or water.

Saturday 09, 16, 23 & 30 November and 7, 14, 21 & 28 December,

Readers are advised to check with the organiser before relying on the details published here. ","https://www.eventbrite.ie/e/clay-coffee-make-your-own-pot-person-sat-1200pm-tickets-458536584267?aff=oddtdtcreator","https://www.eventbrite.ie/e/clay-coffee-make-your-own-pot-person-sat-1200pm-tickets-458536584267?aff=oddtdtcreator","00353863334177","00353863334177","This Must Be The Place","This Must Be The Place, 51 Wellington Quay, Temple Bar, Dublin","Dublin","53.34608859999999","-6.2626895","No","25","28/12/2024","28/12/2024",,,"Yes"
"Clay & Coffee: Make Your Own Pot Person - Saturdays","Event","This event is designed for complete beginners with no experience necessary. We do not use any machinery and this is all hand building with air dry clay.

W﻿HAT TO EXPECT?
Expect music and surprises.
There is UNLIMITED tea or coffee & biscuits included for everyone attending.

This is over 18s. Their studio is a place for adults to socialise. No alcohol is allowed on premises. 

P﻿lease note, they do not have the ability to kiln fire pottery, each piece will dry naturally. These pots are not suitable for flowers or water.

Saturday 09, 16, 23 & 30 November and 7, 14, 21 & 28 December,

Readers are advised to check with the organiser before relying on the details published here. ","https://www.eventbrite.ie/e/clay-coffee-make-your-own-pot-person-sat-1200pm-tickets-458536584267?aff=oddtdtcreator","https://www.eventbrite.ie/e/clay-coffee-make-your-own-pot-person-sat-1200pm-tickets-458536584267?aff=oddtdtcreator","00353863334177","00353863334177","This Must Be The Place","This Must Be The Place, 51 Wellington Quay, Temple Bar, Dublin","Dublin","53.34608859999999","-6.2626895","No","25","21/12/2024","21/12/2024",,,"Yes"
"Clay & Coffee: Make Your Own Pot Person - Saturdays","Event","This event is designed for complete beginners with no experience necessary. We do not use any machinery and this is all hand building with air dry clay.

W﻿HAT TO EXPECT?
Expect music and surprises.
There is UNLIMITED tea or coffee & biscuits included for everyone attending.

This is over 18s. Their studio is a place for adults to socialise. No alcohol is allowed on premises. 

P﻿lease note, they do not have the ability to kiln fire pottery, each piece will dry naturally. These pots are not suitable for flowers or water.

Saturday 09, 16, 23 & 30 November and 7, 14, 21 & 28 December,

Readers are advised to check with the organiser before relying on the details published here. ","https://www.eventbrite.ie/e/clay-coffee-make-your-own-pot-person-sat-1200pm-tickets-458536584267?aff=oddtdtcreator","https://www.eventbrite.ie/e/clay-coffee-make-your-own-pot-person-sat-1200pm-tickets-458536584267?aff=oddtdtcreator","00353863334177","00353863334177","This Must Be The Place","This Must Be The Place, 51 Wellington Quay, Temple Bar, Dublin","Dublin","53.34608859999999","-6.2626895","No","25","14/12/2024","14/12/2024",,,"Yes"
"Ed Byrne: Tragedy Plus Time","Event","From the quote attributed to Mark Twain, humour is defined as Tragedy Plus Time. Come and join one of our leading laugh specialists as he tests that formula by mining the most tragic event in his life for laughs.

With his TV career now in its third decade, Ed has regularly appeared on the likes of QI, Mock The Week, Alan Davies As Yet Untitled, and Live At The Apollo.
With legions of fans both in the UK and abroad, Ed remains the observational stand-up to see.","https://www.ticketmaster.ie/ed-byrne-tragedy-plus-time-dublin-05-03-2025/event/180060B4A8A427A2","https://www.ticketmaster.ie/ed-byrne-tragedy-plus-time-dublin-05-03-2025/event/180060B4A8A427A2","0035318586354","0035318586354","Liberty Hall Theatre","1 Eden Quay, North City, Dublin, Dublin","Dublin","53.3483768","-6.255419900000001","No","35","05/03/2025","05/03/2025",,,"No"
"Winterlee","Market","It's the season for joy and togetherness as SuperValu Páirc Uí Chaoimh transforms into a playground of ice and festive magic, Winterlee - the winter wonderland in Cork!

Ideal for families, adrenaline lovers, evening partygoers and all things winter, the event promises an immersive experience filled with fun and surprises alike. 

It brings together the thrill of a skate trail, a bustling winter village and a vibrant funfair, Winterlee is where winter comes alive.

Winterlee is the home of Alpine Skate Trail in 2024. The most unique ice skating experience you’re ever going to experience, is a trail through the North Stand of Cork’s iconic Gaelic games stadium, SuperValu Páirc Uí Chaoimh.

For more information, visit www.winterlee.ie","https://www.winterlee.ie/#home",,"00353216036666","","SuperValu Páirc Uí Chaoimh","",,"51.8992051","-8.4348808","Yes","","10/11/2024","10/11/2024","20:00","22:00","Yes"
"Winterlee","Market","It's the season for joy and togetherness as SuperValu Páirc Uí Chaoimh transforms into a playground of ice and festive magic, Winterlee - the winter wonderland in Cork!

Ideal for families, adrenaline lovers, evening partygoers and all things winter, the event promises an immersive experience filled with fun and surprises alike. 

It brings together the thrill of a skate trail, a bustling winter village and a vibrant funfair, Winterlee is where winter comes alive.

Winterlee is the home of Alpine Skate Trail in 2024. The most unique ice skating experience you’re ever going to experience, is a trail through the North Stand of Cork’s iconic Gaelic games stadium, SuperValu Páirc Uí Chaoimh.

For more information, visit www.winterlee.ie","https://www.winterlee.ie/#home",,"00353216036666","","SuperValu Páirc Uí Chaoimh","",,"51.8992051","-8.4348808","Yes","","09/11/2024","09/11/2024","20:00","22:00","Yes"
"Winterlee","Market","It's the season for joy and togetherness as SuperValu Páirc Uí Chaoimh transforms into a playground of ice and festive magic, Winterlee - the winter wonderland in Cork!

Ideal for families, adrenaline lovers, evening partygoers and all things winter, the event promises an immersive experience filled with fun and surprises alike. 

It brings together the thrill of a skate trail, a bustling winter village and a vibrant funfair, Winterlee is where winter comes alive.

Winterlee is the home of Alpine Skate Trail in 2024. The most unique ice skating experience you’re ever going to experience, is a trail through the North Stand of Cork’s iconic Gaelic games stadium, SuperValu Páirc Uí Chaoimh.

For more information, visit www.winterlee.ie","https://www.winterlee.ie/#home",,"00353216036666","","SuperValu Páirc Uí Chaoimh","",,"51.8992051","-8.4348808","Yes","","08/11/2024","08/11/2024","20:00","22:00","Yes"
"Clay & Coffee: Make Your Own Pot Person - Saturdays","Event","This event is designed for complete beginners with no experience necessary. We do not use any machinery and this is all hand building with air dry clay.

W﻿HAT TO EXPECT?
Expect music and surprises.
There is UNLIMITED tea or coffee & biscuits included for everyone attending.

This is over 18s. Their studio is a place for adults to socialise. No alcohol is allowed on premises. 

P﻿lease note, they do not have the ability to kiln fire pottery, each piece will dry naturally. These pots are not suitable for flowers or water.

Saturday 09, 16, 23 & 30 November and 7, 14, 21 & 28 December,

Readers are advised to check with the organiser before relying on the details published here. ","https://www.eventbrite.ie/e/clay-coffee-make-your-own-pot-person-sat-1200pm-tickets-458536584267?aff=oddtdtcreator","https://www.eventbrite.ie/e/clay-coffee-make-your-own-pot-person-sat-1200pm-tickets-458536584267?aff=oddtdtcreator","00353863334177","00353863334177","This Must Be The Place","This Must Be The Place, 51 Wellington Quay, Temple Bar, Dublin","Dublin","53.34608859999999","-6.2626895","No","25","09/11/2024","09/11/2024",,,"Yes"
"THE BNS SHOW","Event","Bathiya and Santhush, comprised of Bathiya Jayakody and Santhush Weeraman, are renowned for their fusion of traditional Sri Lankan music with Western pop music. The duo has been making music together for over two decades and have gained recognition in the South Asian music scene for their unique fusion of traditional Sri Lankan music with modern genres. They have released several albums and have collaborated with numerous other artists. Be ready for an unforgettable evening.","https://thelark.ie/the-bns-show/","https://thelark.ticketsolve.com/ticketbooth/shows/1173651884","0035319605400","0035319605400","The Lark Concert Hall","Church Street, Church St, Balbriggan, Dublin","Dublin","53.6081674","-6.1807114","No","81.2","13/12/2024","13/12/2024",,,"No"
"Ed Byrne: Tragedy Plus Time","Event","From the quote attributed to Mark Twain, humour is defined as Tragedy Plus Time. Come and join one of our leading laugh specialists as he tests that formula by mining the most tragic event in his life for laughs.




With his TV career now in its third decade, Ed has regularly appeared on the likes of QI, Mock The Week, Alan Davies As Yet Untitled, and Live At The Apollo.




With legions of fans both in the UK and abroad, Ed remains the observational stand-up to see.","https://moattheatre.ticketsolve.com/ticketbooth/shows/873665248","https://moattheatre.ticketsolve.com/ticketbooth/shows/873665248","0035345883030","","Moat Theatre & Café","Moat Theatre & Café, Abbey Rd, Naas West, Naas, Kildare","Kildare","53.2186111","-6.6641667","No","35","07/03/2025","07/03/2025",,,"No"
